species,dd_long,dd_lat
Panchala_ganesa,73.36116,34.26353
Deudoryx_epijarbas,71.90752,35.99569
Deudoryx_epijarbas,72.33404,36.07242
Deudoryx_epijarbas,74.47318,33.56090
Deudoryx_epijarbas,72.49585,33.65846
Deudoryx_epijarbas,73.38101,34.87437
Deudoryx_epijarbas,73.80455,34.86485
Deudoryx_epijarbas,73.54995,34.72922
Deudoryx_epijarbas,73.29059,34.61976
Deudoryx_epijarbas,73.30248,34.44844
Deudoryx_epijarbas,72.84325,33.87975
Deudoryx_epijarbas,73.09547,33.74174
Deudoryx_epijarbas,73.13592,34.25333
Deudoryx_epijarbas,73.53567,34.22953
Deudoryx_epijarbas,73.35483,34.08676
Deudoryx_epijarbas,73.69271,34.05107
Deudoryx_epijarbas,73.79265,33.80123
Deudoryx_epijarbas,73.10499,34.07725
Deudoryx_epijarbas,73.33580,33.82740
Deudoryx_epijarbas,73.49998,33.88213
Deudoryx_epijarbas,73.10856,33.98088
Deudoryx_epijarbas,73.17756,33.87142
Iraota_timoleon,73.23027,33.88964
Rapala_extensa,71.72822,36.01171
Rapala_extensa,71.66219,35.92308
Rapala_iarbus,67.07780,24.94821
Rapala_iarbus,68.46979,25.39555
Rapala_iarbus,69.07655,24.29814
Rapala_iarbus,71.45102,34.10378
Rapala_iarbus,75.34976,35.31290
Rapala_iarbus,72.75758,33.17876
Rapala_iarbus,72.61719,33.65941
Rapala_iarbus,73.32389,34.62310
Rapala_iarbus,73.29296,34.34946
Rapala_iarbus,73.35720,34.07582
Rapala_iarbus,72.95507,33.80694
Rapala_iarbus,73.20016,33.85691
Rapala_iarbus,72.92890,33.58803
Rapala_iarbus,73.09546,33.43574
Rapala_iarbus,73.19302,33.59041
Rapala_manea,72.94567,33.92259
Rapala_manea,73.08190,33.81313
Rapala_nissa,71.24675,34.13521
Rapala_nissa,72.96814,33.83383
Rapala_nissa,73.06094,33.78957
Rapala_nissa,73.48925,34.80522
Rapala_nissa,73.56206,34.75954
Rapala_nissa,73.56634,34.69672
Rapala_nissa,73.36504,34.50398
Rapala_nissa,73.36075,34.45401
Rapala_nissa,73.34505,34.27413
Rapala_nissa,73.29651,34.21845
Rapala_nissa,73.37075,34.16991
Rapala_nissa,73.27224,34.09852
Rapala_nissa,73.35219,34.04427
Rapala_selira,71.69681,36.00202
Rapala_selira,71.78628,35.55087
Rapala_selira,71.91572,35.65938
Rapala_selira,72.49060,36.07055
Rapala_selira,72.39352,34.79896
Rapala_selira,73.10926,35.45569
Rapala_selira,73.13829,33.85908
Rapala_selira,73.71221,34.72568
Rapala_selira,73.52376,34.70141
Rapala_selira,73.38813,34.57149
Rapala_selira,73.45809,34.61860
Rapala_selira,73.52090,34.31022
Rapala_selira,73.33388,34.06238
Rapala_selira,73.35387,34.09307
Rapala_selira,73.34459,34.35291
Rapala_selira,73.33102,34.29723
Rapala_selira,73.26035,34.23441
Rapala_selira,73.26249,34.13804
Rapala_selira,73.35886,34.19801
Rapala_selira,73.28891,34.19015
Rapala_selira,73.31603,34.14304
Tajuria_cippus,73.85811,33.86265
Tajuria_cippus,73.32321,33.72274
Virachola_isocrates,65.36325,26.75346
Virachola_isocrates,67.01888,24.96221
